contamination,threshold,precision,recall,f1,predicted_positives
0.149,0.10882561915854391,0.1,0.21428571428571427,0.13636363636363635,30
0.15,0.10945495406182425,0.1,0.21428571428571427,0.13636363636363635,30
0.151,0.10999071285212944,0.0967741935483871,0.21428571428571427,0.13333333333333333,31
0.152,0.11024001415373519,0.0967741935483871,0.21428571428571427,0.13333333333333333,31
0.153,0.11048931545534095,0.0967741935483871,0.21428571428571427,0.13333333333333333,31
0.154,0.1107386167569467,0.0967741935483871,0.21428571428571427,0.13333333333333333,31
0.155,0.11098791805855246,0.0967741935483871,0.21428571428571427,0.13333333333333333,31
0.156,0.11147198058818011,0.09375,0.21428571428571427,0.13043478260869565,32
0.157,0.11278304289833947,0.09375,0.21428571428571427,0.13043478260869565,32
0.158,0.11409410520849884,0.09375,0.21428571428571427,0.13043478260869565,32
0.159,0.11540516751865822,0.09375,0.21428571428571427,0.13043478260869565,32
0.16,0.11671622982881757,0.09375,0.21428571428571427,0.13043478260869565,32
0.161,0.11782239606406038,0.09090909090909091,0.21428571428571427,0.1276595744680851,33
0.162,0.1180879630175942,0.09090909090909091,0.21428571428571427,0.1276595744680851,33
0.163,0.11835352997112802,0.09090909090909091,0.21428571428571427,0.1276595744680851,33
0.164,0.11861909692466185,0.09090909090909091,0.21428571428571427,0.1276595744680851,33
0.165,0.11888466387819566,0.09090909090909091,0.21428571428571427,0.1276595744680851,33
0.166,0.11914857590629978,0.08823529411764706,0.21428571428571427,0.125,34
0.167,0.11940445667864209,0.08823529411764706,0.21428571428571427,0.125,34
0.168,0.11966033745098444,0.08823529411764706,0.21428571428571427,0.125,34
0.169,0.11991621822332676,0.08823529411764706,0.21428571428571427,0.125,34
0.17,0.1201720989956691,0.08823529411764706,0.21428571428571427,0.125,34
0.171,0.12048769025582842,0.08571428571428572,0.21428571428571427,0.12244897959183673,35
0.17200000000000001,0.12115330851353569,0.08571428571428572,0.21428571428571427,0.12244897959183673,35
0.17300000000000001,0.1218189267712429,0.08571428571428572,0.21428571428571427,0.12244897959183673,35
0.17400000000000002,0.12248454502895015,0.08571428571428572,0.21428571428571427,0.12244897959183673,35
0.17500000000000002,0.12315016328665736,0.08571428571428572,0.21428571428571427,0.12244897959183673,35
0.17600000000000002,0.12381659901716055,0.08333333333333333,0.21428571428571427,0.12,36
0.177,0.12448899548680073,0.08333333333333333,0.21428571428571427,0.12,36
0.178,0.12516139195644094,0.08333333333333333,0.21428571428571427,0.12,36
0.179,0.1258337884260811,0.08333333333333333,0.21428571428571427,0.12,36
0.18,0.12650618489572127,0.08333333333333333,0.21428571428571427,0.12,36
0.181,0.12713917839385228,0.08108108108108109,0.21428571428571427,0.11764705882352941,37
0.182,0.12739888058294896,0.08108108108108109,0.21428571428571427,0.11764705882352941,37
0.183,0.12765858277204564,0.08108108108108109,0.21428571428571427,0.11764705882352941,37
0.184,0.1279182849611423,0.08108108108108109,0.21428571428571427,0.11764705882352941,37
0.185,0.12817798715023898,0.08108108108108109,0.21428571428571427,0.11764705882352941,37
0.186,0.12842068222614056,0.07894736842105263,0.21428571428571427,0.11538461538461539,38
0.187,0.12843864044910697,0.07894736842105263,0.21428571428571427,0.11538461538461539,38
0.188,0.1284565986720734,0.07894736842105263,0.21428571428571427,0.11538461538461539,38
0.189,0.1284745568950398,0.07894736842105263,0.21428571428571427,0.11538461538461539,38
0.19,0.12849251511800625,0.07894736842105263,0.21428571428571427,0.11538461538461539,38
0.191,0.12851448701317492,0.07692307692307693,0.21428571428571427,0.11320754716981132,39
0.192,0.1286211919881691,0.07692307692307693,0.21428571428571427,0.11320754716981132,39
0.193,0.12872789696316328,0.07692307692307693,0.21428571428571427,0.11320754716981132,39
0.194,0.12883460193815743,0.07692307692307693,0.21428571428571427,0.11320754716981132,39
0.195,0.12894130691315162,0.07692307692307693,0.21428571428571427,0.11320754716981132,39
0.196,0.1290466762520379,0.075,0.21428571428571427,0.1111111111111111,40
0.197,0.129086933330664,0.075,0.21428571428571427,0.1111111111111111,40
0.198,0.12912719040929013,0.075,0.21428571428571427,0.1111111111111111,40
0.199,0.12916744748791625,0.075,0.21428571428571427,0.1111111111111111,40
0.2,0.12920770456654238,0.075,0.21428571428571427,0.1111111111111111,40
0.201,0.1292479616451685,0.075,0.21428571428571427,0.1111111111111111,40
0.202,0.12925322264508915,0.07317073170731707,0.21428571428571427,0.10909090909090909,41
0.203,0.12925830689713755,0.07317073170731707,0.21428571428571427,0.10909090909090909,41
0.20400000000000001,0.12926339114918597,0.07317073170731707,0.21428571428571427,0.10909090909090909,41
0.20500000000000002,0.12926847540123437,0.07317073170731707,0.21428571428571427,0.10909090909090909,41
0.20600000000000002,0.12927355965328277,0.07317073170731707,0.21428571428571427,0.10909090909090909,41
0.20700000000000002,0.12932865512837474,0.07142857142857142,0.21428571428571427,0.10714285714285714,42
0.20800000000000002,0.12938530535651474,0.07142857142857142,0.21428571428571427,0.10714285714285714,42
0.20900000000000002,0.1294419555846547,0.07142857142857142,0.21428571428571427,0.10714285714285714,42
0.21,0.12949860581279468,0.07142857142857142,0.21428571428571427,0.10714285714285714,42
0.211,0.12955525604093465,0.07142857142857142,0.21428571428571427,0.10714285714285714,42
0.212,0.1299161744242837,0.06976744186046512,0.21428571428571427,0.10526315789473684,43
0.213,0.13029489573160774,0.06976744186046512,0.21428571428571427,0.10526315789473684,43
0.214,0.13067361703893177,0.06976744186046512,0.21428571428571427,0.10526315789473684,43
0.215,0.1310523383462558,0.06976744186046512,0.21428571428571427,0.10526315789473684,43
0.216,0.13143105965357985,0.06976744186046512,0.21428571428571427,0.10526315789473684,43
0.217,0.13166384865126954,0.06818181818181818,0.21428571428571427,0.10344827586206896,44
0.218,0.13188387853992015,0.06818181818181818,0.21428571428571427,0.10344827586206896,44
0.219,0.13210390842857073,0.06818181818181818,0.21428571428571427,0.10344827586206896,44
0.22,0.13232393831722136,0.06818181818181818,0.21428571428571427,0.10344827586206896,44
0.221,0.13254396820587194,0.06818181818181818,0.21428571428571427,0.10344827586206896,44
0.222,0.1325777661451119,0.06666666666666667,0.21428571428571427,0.1016949152542373,45
0.223,0.13258959289930902,0.06666666666666667,0.21428571428571427,0.1016949152542373,45
0.224,0.13260141965350614,0.06666666666666667,0.21428571428571427,0.1016949152542373,45
0.225,0.13261324640770328,0.06666666666666667,0.21428571428571427,0.1016949152542373,45
0.226,0.1326250731619004,0.06666666666666667,0.21428571428571427,0.1016949152542373,45
0.227,0.1330687679202213,0.06521739130434782,0.21428571428571427,0.1,46
